id,name,state,cost_of_living_index,cost_of_living_monthly,current_weather,walk_score,image
1,New York,NY,100,2917.15,,,
2,Los Angeles,CA,74.8,2296.83,,,
3,Chicago,IL,72.16,2032.49,,,
4,Houston,TX,61.13,1726.90,,,
5,Philadelphia,PA,71.3,1986.58,,,
6,Phoenix,AZ,51.34,1541.41,,,
7,San Antonio,TX,49.36,1404.67,,,
8,San Diego,CA,70.11,2204.26,,,
9,Dallas,TX,56.77,1661.63,,,
10,San Jose,CA,84.03,3038.48,,,
11,Austin,TX,63.21,1806.10,,,
12,Jacksonville,FL,55.66,1588.19,,,
13,San Francisco,CA,111.97,3679.99,,,
14,Indianapolis,IN,54.39,1522.74,,,
15,Columbus,OH,53.37,1474.53,,,
16,Fort Worth,TX,54.68,1562.96,,,
17,Charlotte,NC,58.77,1738.27,,,
18,Seattle,WA,77.9,2326.50,,,
19,Denver,CO,69.25,2090.35,,,
20,El Paso,TX,44.93,1347.90,,,
21,Detroit,MI,57.82,1611.55,,,
22,"Washington, D.C.",DC,88.53,2833.86,,,
23,Boston,MA,83.82,2604.71,,,
24,Memphis,TN,51.98,1559.40,,,
25,Nashville,TN,61.75,1852.50,,,
26,Portland,OR,67.23,2016.90,,,
27,Oklahoma City,OK,47.41,1422.30,,,
28,Las Vegas,NV,52.22,1566.60,,,
29,Baltimore,MD,65.35,1960.50,,,
30,Louisville,KY,52.28,1568.40,,,
31,Milwaukee,WI,56.49,1694.70,,,
32,Albuquerque,NM,47.14,1414.20,,,
33,Tucson,AZ,45.24,1357.20,,,
34,Fresno,CA,53.74,1612.20,,,
35,Sacramento,CA,61.3,1839.00,,,
36,Kansas City,MO,49.9,1497.00,,,
37,Long Beach,CA,63.03,1890.90,,,
38,Atlanta,GA,60.63,1818.90,,,
39,Colorado Springs,CO,51.27,1538.10,,,
40,Virginia Beach,VA,54.73,1641.90,,,
41,Raleigh,NC,55.29,1658.70,,,
42,Omaha,NE,53.99,1619.70,,,
43,Miami,FL,75.21,2256.30,,,
44,Oakland,CA,86,2580.00,,,
45,Minneapolis,MN,62.94,1888.20,,,
46,Tulsa,OK,51.27,1538.10,,,
47,Wichita,KS,51.05,1531.50,,,
48,New Orleans,LA,61.27,1838.10,,,
49,Cleveland,OH,57.1,1713.00,,,
50,Bakersfield,CA,51.9,1557.00,,,
51,Tampa,FL,59.18,1775.40,,,
52,Honolulu,HI,84.12,2523.60,,,
53,Anaheim,CA,64.77,1943.10,,,
54,Corpus Christi,TX,53.79,1613.70,,,
55,Riverside,CA,65.81,1974.30,,,
56,Saint Louis,MO,53.25,1597.50,,,
57,Lexington,KY,53.19,1595.70,,,
58,Stockton,CA,53.29,1598.70,,,
59,Pittsburgh,PA,61.96,1858.80,,,
60,Anchorage,AK,72.73,2181.90,,,
61,Cincinnati,OH,51.91,1557.30,,,
62,Greensboro,NC,54.56,1636.80,,,
63,Newark,NJ,55.22,1656.60,,,
64,Toledo,OH,41.8,1254.00,,,
65,Lincoln,NE,44.51,1335.30,,,
66,Orlando,FL,60.72,1821.60,,,
67,Fort Wayne,IN,47.66,1429.80,,,
68,Buffalo,NY,52.46,1573.80,,,
69,Durham,NC,55.63,1668.90,,,
70,Laredo,TX,50.37,1511.10,,,
71,Lubbock,TX,49.55,1486.50,,,
72,Madison,WI,54.58,1637.40,,,
73,Norfolk,VA,63.08,1892.40,,,
74,Reno,NV,47.12,1413.60,,,
75,Winston–Salem,NC,56.88,1706.40,,,
76,Baton Rouge,LA,50.41,1512.30,,,
77,Richmond,VA,53.62,1608.60,,,
78,Boise,ID,47.63,1428.90,,,
79,Spokane,WA,50.78,1523.40,,,
80,Birmingham,AL,46.2,1386.00,,,
81,Modesto,CA,60.49,1814.70,,,
82,Des Moines,IA,57,1710.00,,,
83,Rochester,NY,50.61,1518.30,,,
84,Tacoma,WA,57.54,1726.20,,,
85,Oxnard,CA,80.31,2409.30,,,
86,Fayetteville,NC,45.06,1351.80,,,
87,Montgomery,AL,55.72,1671.60,,,
88,Columbus,GA,53.37,1601.10,,,
89,Amarillo,TX,49.01,1470.30,,,
90,Little Rock,AR,50.42,1512.60,,,
91,Akron,OH,57.07,1712.10,,,
92,Shreveport,LA,47.11,1413.30,,,
93,Augusta,GA,49.31,1479.30,,,
94,Grand Rapids,MI,57.34,1720.20,,,
95,Mobile,AL,46.3,1389.00,,,
96,Salt Lake City,UT,52.3,1569.00,,,
97,Huntsville,AL,48,1440.00,,,
